1;Origin
2;Right sideways
3;Right sideways
4;Right sideways
5;Right sideways
6;Right sideways
7;Right sideways
8;Right sideways
9;Right sideways
10;Right sideways
11;Right sideways
12;Left sideways
13;Left sideways
14;Left sideways
15;Left sideways
16;Left sideways
17;Left sideways
18;Left sideways
19;Left sideways
20;Left sideways
21;Left sideways
22;Rotate left corner 1
23;Rotate left corner 1
24;Rotate left corner 1
25;Rotate left corner 1
26;Rotate left corner 1
27;Rotate left corner 2
28;Rotate left corner 2
29;Rotate left corner 2
30;Rotate left corner 2
31;Rotate left corner 1
32;Rotate left corner 3
33;Rotate left corner 1
34;Rotate left corner 3
35;Rotate left corner 3
36;Rotate right corner 1
37;Rotate right corner 1
38;Rotate right corner 1
39;Rotate right corner 1
40;Rotate right corner 3
41;Rotate right corner 1
42;Rotate right corner 3
43;Rotate right corner 2
44;Rotate right corner 2
45;Rotate right corner 3
46;Rotate right corner 3
47;Rotate right corner 3
48;Rotate right corner 3
49;Rotate right corner 3
50;End
